native_language,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
portuguese,0.11,0.242,0.81,0.825,0.06,0.239,0.286,0.55,0.09,0.221,0.619,0.681,0.11,0.219,0.429,0.806,0.11,0.177,0.476,0.494,0.05,0.206,0.262,0.931,0.675
portuguese,0.48,0.127,0.286,0.744,0.11,0.219,0.976,1.0,0.06,0.202,0.81,0.988,0.06,0.2,0.0,0.0,0.09,0.172,0.738,0.644,0.25,0.143,0.952,0.744,0.912
portuguese,0.37,0.136,0.024,0.0,0.09,0.221,0.976,1.0,0.11,0.163,0.976,0.975,0.06,0.201,0.905,0.975,0.09,0.176,0.81,0.0,0.17,0.18,0.976,0.863,0.975
portuguese,0.15,0.193,0.976,0.981,0.05,0.291,0.976,1.0,0.08,0.228,0.976,0.919,0.08,0.242,0.976,0.963,0.06,0.201,0.929,1.0,0.18,0.173,0.952,0.906,0.95
portuguese,0.11,0.226,0.238,0.669,0.06,0.25,0.405,0.556,0.06,0.199,0.667,0.537,0.08,0.195,0.167,0.806,0.05,0.178,0.738,0.5,0.14,0.163,0.048,0.838,0.562
portuguese,0.15,0.151,0.976,0.613,0.06,0.286,0.976,1.0,0.09,0.223,0.952,0.988,0.08,0.223,0.976,0.988,0.09,0.182,0.881,1.0,0.14,0.172,0.976,0.975,0.906
portuguese,0.12,0.258,0.976,0.994,0.08,0.24,0.976,1.0,0.09,0.209,0.976,0.975,0.06,0.201,0.952,0.975,0.08,0.186,0.738,0.95,0.22,0.172,0.976,0.819,1.0
portuguese,0.17,0.174,0.976,0.0,0.05,0.237,0.929,1.0,0.05,0.16,0.69,0.694,0.05,0.18,0.048,0.0,0.05,0.201,0.81,0.0,0.11,0.21,0.976,0.881,0.938
portuguese,0.08,0.204,0.976,0.975,0.05,0.205,0.833,1.0,0.05,0.194,0.81,0.0,0.09,0.191,0.952,0.812,0.11,0.172,0.929,1.0,0.06,0.196,0.595,0.875,0.519
portuguese,0.11,0.18,0.0,0.0,0.05,0.303,0.976,1.0,0.09,0.195,0.0,0.0,0.11,0.179,0.905,0.963,0.15,0.154,0.0,0.0,0.25,0.154,0.976,0.894,0.5
portuguese,0.34,0.134,0.167,0.875,0.09,0.193,0.952,1.0,0.12,0.16,0.81,0.738,0.09,0.187,0.262,0.744,0.08,0.202,0.976,0.0,0.25,0.156,0.952,0.831,0.981
portuguese,0.57,0.131,0.024,0.537,0.06,0.248,0.333,0.537,0.08,0.193,0.31,0.694,0.12,0.199,0.31,0.656,0.08,0.187,0.571,0.581,0.2,0.169,0.357,0.944,0.681
polish,0.09,0.245,0.976,0.844,0.05,0.303,0.976,1.0,0.08,0.189,0.929,0.769,0.08,0.204,0.976,0.963,0.05,0.183,0.881,0.0,0.11,0.183,0.048,0.812,0.556
portuguese,0.34,0.137,0.81,0.75,0.09,0.145,0.381,0.894,0.06,0.169,0.81,0.819,0.11,0.175,0.167,0.0,0.11,0.157,0.571,0.0,0.32,0.144,0.143,0.8,0.825
polish,0.06,0.232,0.976,0.95,0.09,0.253,0.976,1.0,0.06,0.197,0.976,0.988,0.08,0.201,0.929,0.719,0.06,0.189,0.571,0.963,0.18,0.162,0.905,0.881,0.925
polish,0.09,0.2,0.976,0.825,0.05,0.244,0.976,1.0,0.08,0.212,0.976,0.963,0.09,0.232,0.976,0.956,0.12,0.162,0.571,1.0,0.14,0.167,0.952,0.75,0.988
polish,0.12,0.191,0.976,0.919,0.06,0.235,0.952,1.0,0.05,0.197,0.762,0.594,0.08,0.228,0.976,0.894,0.08,0.19,0.405,1.0,0.12,0.167,0.929,0.963,0.0
polish,0.14,0.188,0.976,0.794,0.05,0.303,0.976,1.0,0.11,0.22,0.976,0.975,0.09,0.225,0.976,0.988,0.11,0.178,0.929,1.0,0.14,0.16,0.952,0.75,0.0
polish,0.06,0.187,0.119,0.681,0.06,0.223,0.571,0.656,0.09,0.212,0.929,0.944,0.09,0.216,0.524,0.906,0.06,0.194,0.738,0.644,0.05,0.198,0.405,0.0,0.519
polish,0.11,0.254,0.976,0.819,0.06,0.247,0.976,1.0,0.08,0.199,0.976,1.0,0.08,0.205,0.976,0.969,0.06,0.178,0.524,0.544,0.12,0.182,0.952,0.856,0.988
polish,0.11,0.206,0.833,0.706,0.05,0.303,0.976,0.975,0.08,0.203,0.929,0.869,0.08,0.211,0.238,0.938,0.09,0.179,0.786,0.55,0.12,0.165,0.976,0.0,0.975
polish,0.11,0.176,0.214,0.781,0.08,0.207,0.929,0.537,0.05,0.203,0.0,0.0,0.08,0.205,0.667,0.0,0.09,0.167,0.833,0.694,0.17,0.153,0.095,0.825,0.55
polish,0.11,0.19,0.452,0.863,0.05,0.266,0.595,0.719,0.11,0.218,0.452,0.856,0.08,0.185,0.262,0.819,0.09,0.175,0.762,0.525,0.14,0.163,0.024,0.956,0.519
polish,0.15,0.161,0.976,0.938,0.08,0.201,0.976,1.0,0.05,0.174,0.714,0.981,0.06,0.208,0.952,0.731,0.06,0.193,0.0,0.0,0.08,0.171,0.833,0.956,0.938
polish,0.11,0.263,0.976,1.0,0.05,0.207,0.976,1.0,0.12,0.204,0.976,0.963,0.09,0.209,0.976,0.95,0.12,0.155,0.476,0.775,0.09,0.161,0.905,0.706,0.0
polish,0.09,0.229,0.976,0.95,0.06,0.286,0.976,1.0,0.08,0.222,0.976,0.95,0.12,0.207,0.976,0.975,0.11,0.163,0.762,0.0,0.15,0.16,0.857,0.762,0.95
polish,0.06,0.206,0.976,0.656,0.06,0.256,0.976,1.0,0.06,0.19,0.857,0.975,0.06,0.185,0.929,0.844,0.06,0.186,0.952,0.619,0.08,0.202,0.952,0.931,0.975
polish,0.11,0.261,0.976,0.719,0.06,0.26,0.976,1.0,0.05,0.184,0.619,0.0,0.11,0.207,0.881,0.694,0.08,0.196,0.0,0.0,0.2,0.159,0.905,0.881,0.0
polish,0.14,0.165,0.31,0.725,0.06,0.198,0.095,0.588,0.05,0.182,0.738,0.644,0.05,0.218,0.119,0.0,0.08,0.178,0.0,0.0,0.08,0.192,0.0,0.0,0.531
polish,0.09,0.268,0.976,0.744,0.05,0.232,0.452,1.0,0.05,0.203,0.833,0.0,0.09,0.212,0.976,0.831,0.09,0.18,0.952,0.0,0.11,0.182,0.952,0.95,0.988
polish,0.12,0.235,0.976,0.644,0.08,0.2,0.976,1.0,0.05,0.212,0.786,0.931,0.06,0.232,0.071,0.781,0.05,0.186,0.405,0.0,0.18,0.152,0.952,0.6,0.988
polish,0.09,0.24,0.905,0.738,0.06,0.286,0.429,0.95,0.08,0.225,0.929,0.919,0.08,0.22,0.024,0.938,0.11,0.168,0.738,0.544,0.15,0.17,0.119,0.931,0.606
polish,0.12,0.214,0.976,0.656,0.12,0.174,0.952,1.0,0.05,0.187,0.714,0.975,0.09,0.183,0.976,0.844,0.05,0.203,0.0,0.0,0.15,0.169,0.976,0.906,0.0
polish,0.14,0.253,0.952,0.919,0.05,0.303,0.929,0.938,0.08,0.209,0.0,0.0,0.09,0.202,0.452,0.0,0.08,0.183,0.0,0.775,0.26,0.161,0.976,0.706,0.875
polish,0.12,0.188,0.976,0.981,0.05,0.24,0.738,1.0,0.05,0.21,0.762,0.0,0.08,0.204,0.952,0.931,0.08,0.18,0.643,0.975,0.15,0.164,0.738,0.944,0.769
polish,0.08,0.248,0.952,0.762,0.05,0.303,0.976,1.0,0.08,0.222,0.976,0.0,0.08,0.192,0.929,0.975,0.06,0.176,0.833,0.963,0.09,0.184,0.905,0.881,0.819
polish,0.11,0.172,0.286,0.931,0.06,0.264,0.976,1.0,0.08,0.201,0.976,0.981,0.11,0.196,0.976,0.856,0.14,0.156,0.714,1.0,0.11,0.183,0.905,0.856,0.925
polish,0.06,0.217,0.405,1.0,0.08,0.213,0.952,0.925,0.08,0.197,0.952,0.963,0.08,0.212,0.929,0.925,0.05,0.221,0.81,1.0,0.18,0.151,0.881,0.613,0.875
polish,0.09,0.198,0.952,0.731,0.05,0.236,0.905,1.0,0.08,0.21,0.0,0.0,0.09,0.196,0.976,1.0,0.09,0.172,0.667,0.0,0.11,0.162,0.952,0.881,0.975
polish,0.63,0.127,0.048,0.963,0.08,0.193,0.905,0.606,0.09,0.2,0.452,0.525,0.06,0.236,0.143,0.938,0.18,0.163,0.548,0.469,0.14,0.162,0.714,0.694,0.419
polish,0.11,0.212,0.976,0.75,0.08,0.273,0.976,1.0,0.11,0.196,0.976,0.988,0.09,0.195,0.929,1.0,0.06,0.187,0.738,0.95,0.18,0.173,0.952,0.919,1.0
polish,0.09,0.186,0.119,0.656,0.05,0.256,0.286,1.0,0.05,0.216,0.976,0.0,0.08,0.195,0.976,0.931,0.08,0.193,0.952,0.963,0.08,0.192,0.952,0.988,0.988
polish,0.05,0.178,0.214,0.575,0.09,0.185,0.881,0.594,0.08,0.214,0.595,0.919,0.15,0.181,0.048,0.781,0.12,0.161,0.548,0.506,0.4,0.14,0.31,0.938,0.675
polish,0.14,0.246,0.976,1.0,0.06,0.252,0.976,1.0,0.08,0.206,0.857,0.969,0.06,0.209,0.976,0.938,0.09,0.168,0.667,1.0,0.14,0.169,0.762,0.963,0.869
pohnpeian,0.09,0.24,0.976,0.963,0.05,0.275,0.238,1.0,0.05,0.209,0.976,0.0,0.09,0.188,0.976,0.781,0.05,0.169,0.905,1.0,0.14,0.191,0.976,0.863,1.0
polish,0.12,0.22,0.214,0.731,0.05,0.251,0.048,0.519,0.06,0.215,0.714,0.731,0.09,0.208,0.857,0.894,0.15,0.159,0.571,0.419,0.17,0.16,0.143,0.669,0.537
polish,0.08,0.206,0.905,0.912,0.08,0.229,0.976,1.0,0.09,0.228,0.976,0.975,0.11,0.193,0.929,0.975,0.08,0.174,0.857,0.887,0.18,0.158,0.952,0.856,0.988
polish,0.12,0.182,0.976,0.912,0.08,0.203,0.976,1.0,0.08,0.202,0.786,0.869,0.06,0.218,0.976,0.912,0.09,0.166,0.429,0.0,0.17,0.156,0.881,0.706,0.975
pashto,0.15,0.155,0.524,0.769,0.09,0.199,0.976,0.806,0.05,0.192,0.786,0.988,0.05,0.18,0.0,0.0,0.09,0.181,0.905,0.656,0.05,0.179,0.238,0.944,0.594
pashto,0.12,0.154,0.405,0.994,0.05,0.291,0.976,0.769,0.09,0.241,0.976,1.0,0.11,0.202,0.905,0.894,0.06,0.193,0.881,0.95,0.18,0.163,0.952,0.744,0.988
pashto,0.11,0.187,0.024,0.925,0.08,0.258,0.714,0.681,0.08,0.2,0.881,0.819,0.12,0.191,0.167,0.831,0.11,0.18,0.905,0.569,0.11,0.167,0.571,0.0,0.706
pashto,0.11,0.217,0.976,0.975,0.14,0.182,0.976,1.0,0.05,0.194,0.786,0.963,0.06,0.202,0.452,0.894,0.08,0.19,0.857,0.706,0.2,0.16,0.929,0.831,0.988
pashto,0.12,0.256,0.976,0.919,0.05,0.209,0.143,1.0,0.09,0.174,0.976,0.794,0.11,0.207,0.905,0.85,0.12,0.166,0.857,0.963,0.23,0.162,0.905,0.863,0.981
pashto,0.2,0.179,0.643,0.669,0.06,0.252,0.905,0.963,0.08,0.208,0.762,0.956,0.08,0.194,0.238,0.95,0.06,0.183,0.738,0.0,0.18,0.166,0.071,0.756,0.438
pashto,0.14,0.151,0.69,0.806,0.06,0.234,0.976,0.988,0.08,0.181,0.833,0.975,0.11,0.2,0.952,0.869,0.08,0.168,0.0,0.0,0.06,0.183,0.714,0.95,0.519
papiamentu,0.15,0.2,0.976,0.794,0.06,0.18,0.881,1.0,0.08,0.191,0.0,0.0,0.09,0.21,0.976,0.944,0.09,0.174,0.786,0.963,0.2,0.165,0.905,0.719,0.988
pashto,0.58,0.124,0.571,0.819,0.09,0.202,0.929,0.969,0.11,0.214,0.738,0.0,0.14,0.2,0.167,0.938,0.05,0.187,0.952,0.744,0.31,0.145,0.405,0.912,0.494
pashto,0.32,0.148,0.024,0.381,0.09,0.165,0.405,0.362,0.12,0.178,0.0,0.0,0.12,0.172,0.286,0.931,0.11,0.19,0.857,0.656,0.11,0.19,0.119,0.806,0.556
pashto,0.06,0.184,0.024,0.781,0.08,0.219,0.024,0.55,0.06,0.226,0.69,0.719,0.09,0.214,0.238,0.856,0.06,0.207,0.667,0.956,0.08,0.185,0.619,0.931,0.694
papiamentu,0.14,0.205,0.976,0.963,0.06,0.266,0.976,1.0,0.08,0.217,0.976,0.975,0.09,0.209,0.976,1.0,0.08,0.199,0.905,0.0,0.25,0.155,0.952,0.831,0.988
oromo,0.12,0.232,0.5,0.781,0.05,0.205,0.405,0.606,0.05,0.169,0.762,0.0,0.09,0.226,0.119,0.731,0.05,0.22,0.738,0.644,0.06,0.187,0.0,0.0,0.0
oromo,0.25,0.139,0.048,0.0,0.05,0.21,0.905,0.556,0.05,0.21,0.5,0.0,0.11,0.192,0.167,0.963,0.08,0.187,0.667,0.537,0.06,0.188,0.524,0.856,0.0
oromo,0.08,0.189,0.119,0.806,0.08,0.171,0.071,0.0,0.08,0.191,0.5,0.669,0.11,0.224,0.143,0.806,0.05,0.237,0.405,0.719,0.08,0.186,0.024,0.856,0.525
oriya,0.09,0.21,0.929,0.794,0.05,0.196,0.214,1.0,0.05,0.168,0.69,0.669,0.05,0.198,0.0,0.0,0.08,0.172,0.881,0.0,0.14,0.167,0.929,0.856,0.975
oriya,0.12,0.214,0.024,0.856,0.06,0.2,0.857,0.375,0.08,0.189,0.69,0.731,0.09,0.195,0.071,0.944,0.08,0.183,0.524,0.544,0.11,0.168,0.024,0.744,0.519
norwegian,0.08,0.233,0.0,0.0,0.05,0.227,0.286,0.681,0.08,0.214,0.69,0.719,0.11,0.195,0.095,0.825,0.08,0.17,0.881,0.575,0.06,0.188,0.738,0.944,0.519
norwegian,0.06,0.207,0.024,0.738,0.06,0.221,0.167,0.719,0.08,0.198,0.619,0.606,0.11,0.202,0.143,0.831,0.09,0.163,0.69,0.581,0.18,0.149,0.238,0.819,0.6
norwegian,0.09,0.248,0.976,0.819,0.05,0.243,0.929,1.0,0.11,0.155,0.762,0.0,0.15,0.173,0.929,0.825,0.11,0.161,0.833,0.95,0.05,0.196,0.667,0.875,0.0
nuer,0.34,0.141,0.857,0.812,0.06,0.179,0.548,0.356,0.11,0.16,0.548,0.481,0.14,0.183,0.119,0.831,0.15,0.174,0.429,0.475,0.12,0.182,0.643,0.881,0.594
norwegian,0.12,0.197,0.976,0.906,0.05,0.214,0.976,1.0,0.08,0.198,0.976,0.95,0.09,0.204,0.976,1.0,0.08,0.166,0.762,1.0,0.05,0.176,0.167,0.944,0.531
norwegian,0.06,0.18,0.81,0.95,0.06,0.203,0.976,0.963,0.17,0.155,0.667,0.0,0.08,0.209,0.976,1.0,0.09,0.17,0.357,0.988,0.09,0.168,0.881,0.925,0.819
norwegian,0.08,0.213,0.976,0.694,0.08,0.279,0.976,1.0,0.11,0.224,0.976,0.988,0.12,0.187,0.976,1.0,0.06,0.169,0.643,0.963,0.06,0.19,0.952,0.869,0.925
ngemba,0.15,0.182,0.976,0.931,0.09,0.231,0.714,1.0,0.08,0.216,0.214,0.713,0.09,0.213,0.048,0.806,0.05,0.202,0.929,0.569,0.18,0.197,0.976,0.0,1.0
newari,0.11,0.185,0.262,0.725,0.05,0.217,0.405,0.469,0.08,0.181,0.952,0.956,0.09,0.197,0.333,1.0,0.08,0.189,0.667,0.794,0.05,0.18,0.286,0.919,0.619
ngemba,0.11,0.226,0.024,0.637,0.05,0.245,0.357,0.619,0.12,0.158,0.381,0.594,0.09,0.196,0.167,0.688,0.09,0.181,0.69,0.619,0.17,0.161,0.119,0.819,0.681
nepali,0.09,0.22,0.167,0.594,0.05,0.202,0.024,0.731,0.06,0.206,0.619,0.656,0.12,0.192,0.286,0.894,0.05,0.221,0.429,0.706,0.11,0.188,0.381,0.819,0.606
nepali,0.14,0.22,0.976,0.988,0.05,0.196,0.333,0.6,0.08,0.173,0.762,0.681,0.06,0.212,0.167,0.95,0.09,0.224,0.905,1.0,0.05,0.198,0.881,0.919,0.881
nepali,0.43,0.139,0.024,0.506,0.06,0.239,0.762,0.487,0.05,0.177,0.667,0.0,0.08,0.187,0.19,0.644,0.05,0.183,0.548,0.569,0.05,0.175,0.143,0.0,0.0
nepali,0.17,0.237,0.69,0.812,0.05,0.243,0.333,0.519,0.06,0.188,0.69,0.656,0.11,0.182,0.667,0.838,0.09,0.194,0.762,0.706,0.25,0.164,0.619,0.731,0.656
nepali,0.14,0.246,0.357,0.575,0.05,0.202,0.19,0.762,0.08,0.209,0.476,0.781,0.11,0.214,0.143,0.669,0.11,0.166,0.905,0.456,0.06,0.19,0.071,0.988,0.556
nepali,0.15,0.221,0.024,0.719,0.05,0.227,0.286,0.55,0.05,0.183,0.452,0.0,0.15,0.197,0.262,0.887,0.12,0.164,0.714,0.6,0.15,0.162,0.048,0.856,0.606
nepali,0.8,0.124,0.048,0.988,0.05,0.209,0.714,0.906,0.08,0.167,0.357,0.531,0.09,0.191,0.119,0.75,0.08,0.183,0.738,0.619,0.05,0.178,0.143,0.906,0.637
nepali,0.14,0.159,0.881,0.613,0.08,0.174,0.929,1.0,0.09,0.181,0.905,0.806,0.09,0.192,0.905,0.806,0.05,0.182,0.738,0.831,0.14,0.194,0.976,0.931,1.0
nepali,0.05,0.186,0.857,0.912,0.08,0.174,0.929,0.988,0.14,0.152,0.952,0.938,0.06,0.214,0.167,0.944,0.08,0.18,0.548,0.694,0.17,0.172,0.929,0.881,0.981
nepali,0.09,0.179,0.786,0.869,0.08,0.174,0.952,1.0,0.06,0.188,0.929,0.938,0.12,0.175,0.738,0.944,0.06,0.19,0.929,0.875,0.23,0.158,0.976,0.75,1.0
nepali,0.26,0.143,0.881,0.9,0.06,0.226,0.976,0.975,0.11,0.159,0.976,0.969,0.08,0.192,0.833,0.869,0.08,0.192,0.81,0.706,0.26,0.155,0.929,0.8,0.919
nepali,0.8,0.124,0.881,0.938,0.35,0.127,0.929,1.0,0.12,0.17,0.976,0.569,0.46,0.145,0.881,0.969,0.32,0.146,0.762,0.919,0.95,0.115,0.476,0.887,0.588
nepali,0.23,0.15,0.262,0.944,0.22,0.152,0.81,0.688,0.05,0.17,0.0,0.0,0.08,0.201,0.214,0.0,0.09,0.204,0.881,0.644,0.63,0.137,0.762,0.919,0.75
naxi,0.09,0.163,0.881,1.0,0.06,0.19,0.976,0.0,0.06,0.182,0.667,0.806,0.08,0.2,0.143,0.669,0.08,0.173,0.5,0.0,0.29,0.146,0.952,0.713,0.988
nandi,0.11,0.209,0.095,0.562,0.05,0.241,0.548,0.519,0.08,0.204,0.571,0.0,0.15,0.186,0.381,0.912,0.12,0.162,0.595,0.594,0.38,0.156,0.333,0.825,0.512
mortlockese,0.28,0.142,0.024,0.95,0.05,0.189,0.381,1.0,0.05,0.193,0.905,0.0,0.12,0.194,0.119,0.975,0.05,0.206,0.952,0.556,0.15,0.184,0.976,0.988,1.0
nama,0.12,0.175,0.524,0.781,0.06,0.184,0.786,0.906,0.08,0.178,0.357,0.556,0.12,0.179,0.381,0.831,0.08,0.183,0.429,0.719,0.15,0.191,0.048,0.944,0.519
mongolian,0.11,0.175,0.0,0.0,0.05,0.208,0.905,1.0,0.06,0.21,0.929,0.0,0.09,0.199,0.952,0.944,0.12,0.178,0.571,1.0,0.12,0.201,0.976,0.906,0.0
moore,0.54,0.126,0.524,0.956,0.09,0.188,0.952,0.769,0.08,0.18,0.357,0.781,0.12,0.185,0.381,0.881,0.06,0.186,0.857,0.562,0.29,0.156,0.238,0.781,0.562
mongolian,0.09,0.179,0.738,0.988,0.08,0.208,0.976,0.988,0.05,0.192,0.786,0.744,0.11,0.207,0.81,0.869,1.38,0.112,0.286,0.0,0.18,0.139,0.214,0.856,0.619
mongolian,0.08,0.234,0.238,0.819,0.05,0.24,0.643,0.831,0.05,0.23,0.952,0.0,0.11,0.218,0.071,0.769,0.12,0.185,0.81,0.512,0.05,0.216,0.095,0.906,0.569
mongolian,0.18,0.157,0.119,0.844,0.06,0.216,0.976,1.0,0.08,0.177,0.833,0.956,0.11,0.184,0.905,0.856,0.05,0.187,0.786,0.544,0.08,0.191,0.952,0.944,0.919
mongolian,0.08,0.19,0.0,0.0,0.06,0.271,0.357,0.719,0.09,0.192,0.905,0.669,0.09,0.227,0.214,0.887,0.11,0.172,0.786,0.575,0.05,0.173,0.857,0.869,0.769
mongolian,0.51,0.122,0.167,0.7,0.09,0.17,0.667,0.5,0.4,0.133,0.667,0.0,0.09,0.203,0.024,0.738,0.06,0.182,0.905,0.556,0.06,0.182,0.976,0.688,1.0
mongolian,0.25,0.147,0.929,0.925,0.06,0.232,0.929,0.838,0.06,0.205,0.333,0.819,0.08,0.234,0.214,0.625,0.11,0.181,0.286,0.906,0.15,0.158,0.286,0.669,0.0
mongolian,0.11,0.185,0.929,0.694,0.09,0.196,0.548,0.975,0.05,0.178,0.714,0.637,0.08,0.204,0.048,0.744,0.09,0.18,0.762,0.531,0.05,0.186,0.024,0.975,0.531
mongolian,0.2,0.15,0.833,0.919,0.06,0.222,0.952,0.675,0.08,0.224,0.929,0.844,0.09,0.205,0.952,0.875,0.06,0.194,0.571,1.0,0.22,0.168,0.595,0.887,0.713
mizo,0.11,0.203,0.976,0.975,0.05,0.192,0.333,1.0,0.11,0.166,0.857,0.719,0.08,0.208,0.095,0.925,0.08,0.202,0.881,0.631,0.18,0.179,0.976,0.875,0.988
miskito,0.11,0.254,0.024,0.806,0.05,0.294,0.286,0.537,0.06,0.221,0.69,0.694,0.08,0.205,0.238,0.781,0.12,0.174,0.762,0.594,0.11,0.173,0.238,0.894,0.556
moba,0.28,0.168,0.024,0.594,0.05,0.193,0.048,0.588,0.05,0.182,0.738,0.0,0.11,0.191,0.143,0.831,0.12,0.166,0.333,0.525,0.08,0.197,0.738,0.869,0.0
miskito,0.2,0.17,0.357,0.85,0.05,0.268,0.952,0.55,0.05,0.198,0.0,0.0,0.08,0.188,0.167,0.0,0.06,0.208,0.976,0.744,0.28,0.15,0.881,0.787,0.569
miskito,0.2,0.21,0.071,0.769,0.06,0.173,0.357,0.45,0.05,0.175,0.905,0.806,0.05,0.193,0.119,0.0,0.05,0.185,0.714,0.0,0.05,0.161,0.024,0.0,0.481
miskito,0.22,0.149,0.857,0.919,0.09,0.189,0.976,0.975,0.06,0.185,0.905,0.9,0.05,0.174,0.357,0.0,0.12,0.161,0.333,0.669,0.68,0.13,0.905,0.762,0.938
miskito,0.11,0.203,0.976,0.725,0.08,0.193,0.81,1.0,0.05,0.186,0.738,0.856,0.08,0.21,0.905,0.919,0.08,0.196,0.595,0.95,0.15,0.154,0.952,0.631,0.988
miskito,0.06,0.208,0.976,1.0,0.05,0.273,0.333,1.0,0.05,0.212,0.667,0.0,0.09,0.209,0.976,0.669,0.08,0.177,0.548,0.544,0.2,0.161,0.952,0.769,0.975
miskito,0.09,0.237,0.024,0.65,0.06,0.243,0.0,0.0,0.08,0.193,0.548,0.631,0.06,0.201,0.595,0.969,0.09,0.172,0.19,0.706,0.15,0.16,0.357,0.562,0.519
miskito,0.23,0.143,0.929,0.894,0.11,0.196,0.976,1.0,0.06,0.205,0.952,0.95,0.09,0.201,0.976,0.938,0.06,0.189,0.667,0.975,0.2,0.152,0.952,0.8,0.988
miskito,0.15,0.149,0.643,0.706,0.09,0.172,0.976,0.794,0.11,0.18,0.952,0.988,0.06,0.23,0.976,0.9,0.14,0.177,0.857,0.963,0.18,0.159,0.952,0.806,0.988
miskito,0.18,0.163,0.286,0.0,0.2,0.166,0.143,0.0,0.05,0.184,0.571,0.806,0.09,0.174,0.238,0.781,0.85,0.122,0.571,0.494,0.4,0.15,0.0,0.825,0.562
miskito,0.08,0.177,0.167,0.575,0.08,0.182,0.048,0.681,0.09,0.224,0.595,0.744,0.09,0.215,0.238,0.8,0.06,0.23,0.095,0.619,0.05,0.178,0.548,0.688,0.769
mende,0.05,0.163,0.167,0.0,0.05,0.175,0.262,0.0,0.05,0.178,0.262,0.0,0.05,0.168,0.286,0.0,0.25,0.14,0.643,0.0,0.54,0.141,0.905,0.725,0.963
mende,0.17,0.167,0.024,0.85,0.05,0.24,0.976,0.0,0.09,0.199,0.976,0.988,0.09,0.21,0.952,0.975,0.05,0.211,0.952,0.0,0.18,0.18,0.929,0.969,0.975
mende,0.14,0.188,0.643,0.875,0.08,0.171,0.548,0.487,0.08,0.199,0.81,0.631,0.09,0.2,0.167,0.944,0.06,0.207,0.214,0.6,0.2,0.166,0.095,0.731,0.475
mauritian,0.08,0.232,0.81,0.756,0.05,0.253,0.929,0.856,0.15,0.15,0.738,0.9,0.06,0.207,0.238,0.794,0.05,0.192,0.0,0.0,0.14,0.182,0.952,0.906,0.988
mauritian,0.17,0.206,0.976,0.994,0.06,0.25,0.976,1.0,0.14,0.154,0.833,0.944,0.08,0.2,0.976,0.856,0.09,0.184,0.881,1.0,0.14,0.164,0.929,0.825,0.988
marathi,0.14,0.2,0.976,1.0,0.06,0.201,0.929,1.0,0.09,0.193,0.929,0.0,0.12,0.19,0.976,0.988,0.08,0.187,0.833,1.0,0.2,0.168,0.976,0.925,1.0
marathi,0.05,0.163,0.524,0.938,0.18,0.153,0.976,0.906,0.05,0.204,0.976,0.975,0.08,0.246,0.381,0.769,0.05,0.199,0.929,0.544,0.08,0.186,0.81,0.981,0.894
marathi,0.05,0.175,0.667,0.775,0.06,0.21,0.952,0.0,0.05,0.175,0.929,0.0,0.08,0.213,0.524,0.844,0.06,0.206,0.476,0.762,0.18,0.171,0.143,0.744,0.525
mandingo,0.2,0.173,0.976,0.731,0.05,0.214,0.952,1.0,0.06,0.187,0.929,0.0,0.05,0.203,0.167,0.988,0.06,0.193,0.881,0.619,0.06,0.177,0.905,0.906,0.95
mankanya,0.08,0.21,0.0,0.0,0.05,0.279,0.048,0.644,0.08,0.211,0.762,0.594,0.06,0.197,0.071,0.85,0.15,0.158,0.857,0.581,0.66,0.13,0.0,0.0,0.0
mandarin,0.11,0.243,0.0,0.0,0.05,0.303,0.81,0.681,0.05,0.209,0.881,0.744,0.09,0.197,0.167,0.938,0.09,0.186,0.357,0.506,0.06,0.207,0.262,0.756,0.706
mandinka,0.45,0.14,0.976,0.731,0.05,0.268,0.119,0.8,0.05,0.197,0.833,0.831,0.09,0.204,0.5,0.756,0.11,0.193,0.357,0.656,0.43,0.143,0.881,0.731,0.512
mandarin,0.09,0.242,0.095,0.694,0.08,0.209,0.167,0.575,0.05,0.184,0.476,0.619,0.15,0.178,0.024,0.756,0.08,0.172,0.619,0.469,0.31,0.152,0.857,0.7,0.594
mandarin,0.08,0.183,0.071,0.581,0.05,0.193,0.643,0.631,0.05,0.197,0.595,0.0,0.05,0.219,0.476,0.669,0.09,0.183,0.905,0.637,0.12,0.185,0.929,0.0,0.487
mandarin,0.23,0.141,0.595,0.863,0.08,0.212,0.976,0.988,0.05,0.187,0.786,0.988,0.08,0.209,0.976,0.781,0.06,0.17,0.905,0.988,0.05,0.183,0.786,0.919,0.856
mandarin,0.12,0.197,0.31,0.644,0.11,0.183,0.881,0.912,0.08,0.212,0.857,0.756,0.14,0.202,0.19,0.806,0.11,0.161,0.643,0.55,0.32,0.14,0.429,0.781,0.606
mandarin,0.14,0.227,0.976,1.0,0.05,0.203,0.595,1.0,0.05,0.228,0.81,0.0,0.06,0.218,0.976,0.719,0.12,0.165,0.929,1.0,0.08,0.196,0.905,0.975,0.0
mandarin,0.23,0.172,0.976,1.0,0.06,0.277,0.976,1.0,0.05,0.214,0.952,0.869,0.08,0.201,0.976,0.919,0.09,0.182,0.905,1.0,0.06,0.194,0.81,0.925,0.519
